Player,Age,Team,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,Awards
Jimmy Garoppolo,29,SFO,QB,6,6,3-3-0,94,140,67.1,1096,7,5.0,5,3.6,55,49.0,76,7.8,7.22,11.7,182.7,92.4,54.0,11,77,7.28,6.75,6.19,0,0,
Mike Glennon,31,JAX,QB,5,5,0-5-0,111,179,62.0,1072,7,3.9,5,2.8,57,43.1,46,6.0,5.51,9.7,214.4,80.1,29.8,9,53,4.79,5.42,4.97,0,0,
Jalen Hurts,22,PHI,QB,15,4,1-3-0,77,148,52.0,1061,6,4.1,4,2.7,45,38.5,81,7.2,6.76,13.8,70.7,77.6,33.8,13,59,8.07,6.22,5.85,0,0,
Taysom Hill,30,NOR,QB/WR,16,8,3-1-0,88,121,72.7,928,4,3.3,2,1.7,45,45.2,44,7.7,7.59,10.5,58.0,98.8,51.1,14,87,10.37,6.23,6.16,0,0,
Brandon Allen,28,CIN,QB,5,5,1-4-0,90,142,63.4,925,5,3.5,4,2.8,42,45.6,72,6.5,5.95,10.3,185.0,82.0,37.5,7,51,4.70,5.87,5.33,1,1,
Joe Flacco,35,NYJ,QB,5,4,0-4-0,74,134,55.2,864,6,4.5,3,2.2,36,41.8,52,6.4,6.34,11.7,172.8,80.6,50.3,7,69,4.96,5.64,5.53,0,0,
C.J. Beathard,27,SFO,QB,6,2,1-1-0,66,104,63.5,787,6,5.8,0,0.0,42,46.9,49,7.6,8.72,11.9,131.2,105.7,46.0,9,71,7.96,6.34,7.40,0,0,
Jake Luton,24,JAX,QB,3,3,0-3-0,60,110,54.5,624,2,1.8,6,5.5,31,41.0,73,5.7,3.58,10.4,208.0,54.5,32.8,7,52,5.98,4.89,2.92,0,0,
Kyle Allen,24,WAS,QB,4,4,1-3-0,60,87,69.0,610,4,4.6,1,1.1,30,46.8,52,7.0,7.41,10.2,152.5,99.3,68.2,7,44,7.45,6.02,6.39,0,0,
Jeff Driskel,27,DEN,QB,3,1,0-1-0,35,64,54.7,432,3,4.7,2,3.1,18,33.3,45,6.8,6.28,12.3,144.0,78.4,36.1,11,98,14.67,4.45,4.05,0,0,
Colt McCoy,34,NYG,QB,4,2,1-1-0,40,66,60.6,375,1,1.5,1,1.5,19,36.6,35,5.7,5.30,9.4,93.8,75.0,29.7,5,24,7.04,4.94,4.59,0,0,
P.J. Walker,25,CAR,QB,4,1,1-0-0,32,56,57.1,368,1,1.8,5,8.9,17,36.7,52,6.6,2.91,11.5,92.0,45.8,9.6,4,31,6.67,5.62,2.20,0,0,
Mason Rudolph,25,PIT,QB,5,1,0-1-0,25,43,58.1,324,2,4.7,1,2.3,13,36.4,47,7.5,7.42,13.0,64.8,87.7,72.7,1,8,2.27,7.18,7.07,0,0,
Brett Rypien,24,DEN,QB,3,1,1-0-0,27,40,67.5,295,2,5.0,4,10.0,12,48.8,48,7.4,3.88,10.9,98.3,66.1,50.3,1,0,2.44,7.20,3.78,1,1,
Chase Daniel,34,DET,QB,4,0,,29,43,67.4,264,1,2.3,2,4.7,14,45.7,28,6.1,4.51,9.1,66.0,72.2,15.9,3,29,6.52,5.11,3.59,0,0,
Jarrett Stidham,24,NWE,QB,5,0,,22,44,50.0,256,2,4.5,3,6.8,12,33.3,38,5.8,3.66,11.6,51.2,54.7,12.2,4,21,8.33,4.90,2.92,0,0,
Chad Henne,35,KAN,QB,3,1,0-1-0,28,38,73.7,248,2,5.3,0,0.0,15,50.0,37,6.5,7.58,8.9,82.7,108.2,26.3,2,4,5.00,6.10,7.10,0,0,
Garrett Gilbert,29,DAL,QB,1,1,0-1-0,21,38,55.3,243,1,2.6,1,2.6,10,42.5,32,6.4,5.74,11.6,243.0,72.6,56.8,2,23,5.00,5.50,4.88,0,0,
John Wolford,25,LAR,QB,1,1,1-0-0,22,38,57.9,231,0,0.0,1,2.6,12,35.0,38,6.1,4.89,10.5,231.0,64.7,68.5,2,8,5.00,5.58,4.45,0,0,
Marcus Mariota,27,LVR,QB,1,0,,17,28,60.7,226,1,3.6,1,3.6,11,46.4,35,8.1,7.18,13.3,226.0,83.3,97.4,0,0,0.00,8.07,7.18,0,0,
Ben DiNucci,24,DAL,QB,3,1,0-1-0,23,43,53.5,219,0,0.0,0,0.0,11,34.0,32,5.1,5.09,9.5,73.0,67.9,10.2,7,73,14.00,2.92,2.92,0,0,
Tyrod Taylor,31,LAC,QB,2,1,1-0-0,16,30,53.3,208,0,0.0,0,0.0,10,37.5,37,6.9,6.93,13.0,104.0,75.4,16.6,2,1,6.25,6.47,6.47,1,1,
Matt Barkley,30,BUF,QB,5,0,,11,21,52.4,197,1,4.8,1,4.8,9,40.9,56,9.4,8.19,17.9,39.4,80.9,27.4,1,7,4.55,8.64,7.50,0,0,
Ryan Finley,26,CIN,QB,5,1,1-0-0,17,32,53.1,164,1,3.1,2,6.3,8,24.4,30,5.1,2.94,9.6,32.8,52.1,41.4,9,63,21.95,2.46,0.76,0,0,
Blaine Gabbert,31,TAM,QB,4,0,,9,16,56.3,143,2,12.5,0,0.0,5,41.2,35,8.9,11.44,15.9,35.8,125.8,53.1,1,7,5.88,8.00,10.35,0,0,
Taylor Heinicke,27,WAS,QB,1,0,,12,19,63.2,137,1,5.3,0,0.0,6,55.0,29,7.2,8.26,11.4,137.0,102.3,40.7,1,7,5.00,6.50,7.50,0,0,
Brian Hoyer,35,NWE,QB,1,1,0-1-0,15,24,62.5,130,0,0.0,1,4.2,8,42.3,25,5.4,3.54,8.7,130.0,59.4,22.4,2,18,7.69,4.31,2.58,0,0,
Chris Streveler,25,ARI,QB,5,0,,11,16,68.8,105,1,6.3,1,6.3,5,33.3,19,6.6,5.00,9.5,21.0,81.5,29.6,2,10,11.11,5.28,3.89,0,0,
Trace McSorley,25,BAL,QB,2,0,,3,10,30.0,90,1,10.0,0,0.0,2,20.0,70,9.0,11.00,30.0,45.0,97.9,28.9,0,0,0.00,9.00,11.00,0,0,
Jameis Winston,26,NOR,QB,4,0,,7,11,63.6,75,0,0.0,0,0.0,5,38.5,19,6.8,6.82,10.7,18.8,83.5,12.0,2,11,15.38,4.92,4.92,0,0,
Jarvis Landry,28,CLE,WR,15,14,,4,4,100.0,74,1,25.0,0,0.0,4,100.0,37,18.5,23.50,18.5,4.9,158.3,100.0,0,0,0.00,18.50,23.50,0,0,
David Blough,25,DET,QB,1,0,,6,10,60.0,49,0,0.0,1,10.0,1,27.3,20,4.9,0.40,8.2,49.0,32.9,11.2,1,10,9.09,3.55,-0.55,0,0,
Case Keenum,32,CLE,QB,2,0,,5,10,50.0,46,0,0.0,0,0.0,2,40.0,24,4.6,4.60,9.2,23.0,62.9,34.7,0,0,0.00,4.60,4.60,0,0,
Jamison Crowder,27,NYJ,WR,12,7,,1,1,100.0,43,1,100.0,0,0.0,1,100.0,43,43.0,63.00,43.0,3.6,158.3,100.0,0,0,0.00,43.00,63.00,0,0,
Jakobi Meyers,24,NWE,WR,14,9,,2,2,100.0,43,2,100.0,0,0.0,2,100.0,24,21.5,41.50,21.5,3.1,158.3,100.0,0,0,0.00,21.50,41.50,0,0,
Robert Griffin III,30,BAL,QB,4,1,0-1-0,8,14,57.1,42,0,0.0,2,14.3,1,23.5,9,3.0,-3.43,5.3,10.5,22.6,20.2,3,20,17.65,1.29,-4.00,0,0,
Russell Gage,24,ATL,WR,16,8,,1,2,50.0,39,1,50.0,0,0.0,1,50.0,39,19.5,29.50,39.0,2.4,135.4,100.0,0,0,0.00,19.50,29.50,0,0,
Julian Edelman,34,NWE,WR,6,1,,2,2,100.0,38,0,0.0,0,0.0,2,100.0,22,19.0,19.00,19.0,6.3,118.7,98.0,0,0,0.00,19.00,19.00,0,0,
Geno Smith,30,SEA,QB,1,0,,4,5,80.0,33,0,0.0,0,0.0,3,50.0,14,6.6,6.60,8.3,33.0,94.2,3.9,1,3,16.67,5.00,5.00,0,0,
Lynn Bowden Jr.,23,MIA,WR,10,4,,1,2,50.0,32,0,0.0,0,0.0,1,50.0,32,16.0,16.00,32.0,3.2,95.8,32.9,0,0,0.00,16.00,16.00,0,0,
Nate Sudfeld,27,PHI,QB,1,0,,5,12,41.7,32,0,0.0,1,8.3,1,21.4,10,2.7,-1.08,6.4,32.0,14.6,1.6,2,16,14.29,1.14,-2.07,0,0,
Zay Jones,25,LVR,WR,16,2,,1,1,100.0,29,0,0.0,0,0.0,1,100.0,29,29.0,29.00,29.0,1.8,118.7,100.0,0,0,0.00,29.00,29.00,0,0,
Joseph Charlton,23,CAR,P,16,0,,1,1,100.0,28,0,0.0,0,0.0,1,,28,28.0,28.00,28.0,1.8,118.7,99.9,1,5,50.00,11.50,11.50,0,0,
Logan Thomas,29,WAS,TE,16,15,,1,1,100.0,28,0,0.0,0,0.0,1,100.0,28,28.0,28.00,28.0,1.8,118.7,40.1,0,0,0.00,28.00,28.00,0,0,
Andy Lee,38,ARI,P,16,0,,1,1,100.0,26,0,0.0,0,0.0,1,,26,26.0,26.00,26.0,1.6,118.7,,0,0,0.00,26.00,26.00,0,0,
Nathan Peterman,26,LVR,QB,1,0,,3,5,60.0,25,0,0.0,0,0.0,1,28.6,12,5.0,5.00,8.3,25.0,72.9,24.3,2,16,28.57,1.29,1.29,0,0,
Cedrick Wilson Jr.,25,DAL,WR,16,0,,2,2,100.0,23,1,50.0,0,0.0,1,50.0,12,11.5,21.50,11.5,1.4,154.2,99.3,0,0,0.00,11.50,21.50,0,0,
Cole Beasley,31,BUF,WR,15,10,,1,1,100.0,20,1,100.0,0,0.0,1,100.0,20,20.0,40.00,20.0,1.3,158.3,100.0,0,0,0.00,20.00,40.00,0,0,AP-2
A.J. McCarron,30,HOU,QB,2,0,,1,1,100.0,20,0,0.0,0,0.0,1,,20,20.0,20.00,20.0,10.0,118.7,0.0,1,12,50.00,4.00,4.00,0,0,
Odell Beckham Jr.,28,CLE,WR,7,7,,1,1,100.0,18,0,0.0,0,0.0,1,100.0,18,18.0,18.00,18.0,2.6,118.7,98.9,0,0,0.00,18.00,18.00,0,0,
Tyler Bray,29,CHI,QB,1,0,,1,5,20.0,18,0,0.0,0,0.0,1,20.0,18,3.6,3.60,18.0,18.0,42.1,7.5,0,0,0.00,3.60,3.60,0,0,
Golden Tate,32,NYG,WR,12,4,,1,2,50.0,18,0,0.0,0,0.0,1,50.0,18,9.0,9.00,18.0,1.5,81.2,4.8,0,0,0.00,9.00,9.00,0,0,
Jacoby Brissett,28,IND,QB,11,0,,2,8,25.0,17,0,0.0,0,0.0,1,10.0,13,2.1,2.13,8.5,1.5,39.6,58.3,2,15,20.00,0.20,0.20,0,0,
Tyler Boyd,26,CIN,WR,15,8,,1,2,50.0,16,0,0.0,0,0.0,1,50.0,16,8.0,8.00,16.0,1.1,77.1,48.0,0,0,0.00,8.00,8.00,0,0,
Tyler Huntley,22,BAL,QB,2,0,,3,5,60.0,15,0,0.0,0,0.0,0,20.0,8,3.0,3.00,5.0,7.5,64.6,1.4,0,0,0.00,3.00,3.00,0,0,
Sam Koch,38,BAL,P,15,0,,1,1,100.0,15,0,0.0,0,0.0,1,,15,15.0,15.00,15.0,1.0,118.7,,0,0,0.00,15.00,15.00,0,0,
Greg Ward,25,PHI,WR,16,10,,1,1,100.0,15,0,0.0,0,0.0,1,100.0,15,15.0,15.00,15.0,0.9,118.7,0.7,0,0,0.00,15.00,15.00,0,0,
Kendall Hinton,23,DEN,WR,1,0,,1,9,11.1,13,0,0.0,2,22.2,1,10.0,13,1.4,-8.56,13.0,13.0,0.0,0.1,1,1,10.00,1.20,-7.80,0,0,
Jaquan Johnson,25,BUF,DB,14,0,,1,1,100.0,13,0,0.0,0,0.0,1,,13,13.0,13.00,13.0,0.9,118.7,,0,0,0.00,13.00,13.00,0,0,
Tommy Townsend,24,KAN,P,16,0,,1,1,100.0,13,0,0.0,0,0.0,1,,13,13.0,13.00,13.0,0.8,118.7,10.6,0,0,0.00,13.00,13.00,0,0,
Isaiah McKenzie,25,BUF,WR,16,7,,1,1,100.0,12,1,100.0,0,0.0,1,100.0,12,12.0,32.00,12.0,0.8,156.2,88.2,0,0,0.00,12.00,32.00,0,0,
Logan Woodside,25,TEN,QB,6,0,,1,3,33.3,7,0,0.0,0,0.0,1,,7,2.3,2.33,7.0,1.2,42.4,65.1,0,0,0.00,2.33,2.33,0,0,
Travis Kelce,31,KAN,TE,15,15,,1,2,50.0,4,0,0.0,0,0.0,1,50.0,4,2.0,2.00,4.0,0.3,56.2,55.2,0,0,0.00,2.00,2.00,0,0,"PB,AP-1,AP OPoY-4"
Easton Stick,25,LAC,QB,1,0,,1,1,100.0,4,0,0.0,0,0.0,0,100.0,4,4.0,4.00,4.0,4.0,83.3,1.3,0,0,0.00,4.00,4.00,0,0,
Joshua Dobbs,25,PIT,QB,1,0,,4,5,80.0,2,0,0.0,0,0.0,0,,3,0.4,0.40,0.5,2.0,79.2,48.7,0,0,0.00,0.40,0.40,0,0,
Jamal Agnew,25,DET,WR,14,2,,0,1,0.0,0,0,0.0,0,0.0,0,,,0.0,0.00,,0.0,39.6,0.9,0,0,0.00,0.00,0.00,0,0,
Keenan Allen,28,LAC,WR,14,13,,0,1,0.0,0,0,0.0,0,0.0,0,,,0.0,0.00,,0.0,39.6,1.4,0,0,0.00,0.00,0.00,0,0,PB
Tim Boyle,26,GNB,QB,8,0,,0,0,,0,0,,0,,0,,,,,,0.0,,0.0,1,11,100.00,-11.00,-11.00,0,0,
Randall Cobb,30,HOU,WR,10,2,,0,1,0.0,0,0,0.0,0,0.0,0,,,0.0,0.00,,0.0,39.6,2.8,0,0,0.00,0.00,0.00,0,0,
Riley Dixon,27,NYG,P,16,0,,0,1,0.0,0,0,0.0,0,0.0,0,,,0.0,0.00,,0.0,39.6,,0,0,0.00,0.00,0.00,0,0,
Alex Erickson,28,CIN,WR,16,2,,0,1,0.0,0,0,0.0,0,0.0,0,,,0.0,0.00,,0.0,39.6,8.4,0,0,0.00,0.00,0.00,0,0,
Adam Humphries,27,TEN,WR,7,1,,0,0,,0,0,,0,,0,,,,,,0.0,,,1,0,100.00,0.00,0.00,0,0,
Chris Jones,31,DAL,P,8,0,,0,1,0.0,0,0,0.0,0,0.0,0,,,0.0,0.00,,0.0,39.6,,0,0,0.00,0.00,0.00,0,0,
Brett Kern,34,TEN,P,13,0,,0,1,0.0,0,0,0.0,0,0.0,0,,,0.0,0.00,,0.0,39.6,0.0,0,0,0.00,0.00,0.00,0,0,
CeeDee Lamb,21,DAL,WR,16,14,,0,0,,0,0,,0,,0,,,,,,0.0,,0.0,1,4,100.00,-4.00,-4.00,0,0,
D.J. Moore,23,CAR,WR,15,14,,0,1,0.0,0,0,0.0,0,0.0,0,,,0.0,0.00,,0.0,39.6,,0,0,0.00,0.00,0.00,0,0,
Zach Pascal,26,IND,WR,16,14,,0,1,0.0,0,0,0.0,0,0.0,0,,,0.0,0.00,,0.0,39.6,1.8,0,0,0.00,0.00,0.00,0,0,
James Robinson,22,JAX,RB,14,14,,0,0,,0,0,,0,,0,,,,,,0.0,,0.0,1,4,100.00,-4.00,-4.00,0,0,
Jeff Smith,23,NYJ,WR,12,4,,0,0,,0,0,,0,,0,,,,,,0.0,,0.0,1,16,100.00,-16.00,-16.00,0,0,
Sammy Watkins,27,KAN,WR,10,9,,0,1,0.0,0,0,0.0,1,100.0,0,,,0.0,-45.00,,0.0,0.0,0.0,0,0,0.00,0.00,-45.00,0,0,
Isaiah Wright,23,WAS,WR,14,6,,0,1,0.0,0,0,0.0,0,0.0,0,,,0.0,0.00,,0.0,39.6,2.8,0,0,0.00,0.00,0.00,0,0,
League Average,,,,,,,,,65.2,,,4.8,,2.2,,48.0,,7.2,7.22,11.1,114.8,93.6,,,,5.93,6.42,6.40,,,
