Player,Tm,Age,Pos,G,GS,Pnt,Yds,Y/P,RetYds,Net,NY/P,Lng,TB,TB%,In20,In20%,Blck
Reggie Hodges,2TM,23,P,8,0,41,1535,37.4,142,1353,32.2,55,2,4.9%,9,22.0%,1
Dirk Johnson,PHI,30,P,7,0,39,1615,41.4,119,1496,38.4,59,0,0.0%,11,28.2%,0
Sean Landeta,PHI,43,P,5,0,34,1483,43.6,143,1300,38.2,56,2,5.9%,7,20.6%,0
Leo Araguz,SEA,35,P,4,0,18,723,40.2,78,625,34.7,53,1,5.6%,4,22.2%,0
Andy Groom,WAS,26,P,2,0,11,429,39.0,26,383,34.8,57,1,9.1%,2,18.2%,0
Darren Bennett,MIN,40,P,1,0,8,300,37.5,25,275,34.4,53,0,0.0%,1,12.5%,0
Nick Murphy,PHI,26,P,1,0,7,275,39.3,39,236,33.7,44,0,0.0%,1,14.3%,0
Ryan Flinn,GNB,25,P,2,0,6,218,36.3,42,176,29.3,42,0,0.0%,0,0.0%,0
Phil Dawson,CLE,30,K,16,0,2,53,26.5,0,53,26.5,31,0,0.0%,2,100.0%,0
Paul Edinger,MIN,27,K,16,0,2,75,37.5,0,75,37.5,40,0,0.0%,1,50.0%,0
Ben Roethlisberger,PIT,23,QB,12,12,2,72,36.0,0,52,26.0,39,1,50.0%,1,50.0%,0
Josh Brown,SEA,26,K,16,0,1,20,20.0,0,20,20.0,20,0,0.0%,1,100.0%,0
Billy Cundiff,DAL,25,K,6,0,1,35,35.0,0,15,15.0,35,1,100.0%,0,0.0%,0
Aaron Elling,BAL,27,K,9,0,1,32,32.0,0,32,32.0,32,0,0.0%,1,100.0%,0
Robbie Gould,CHI,23,K,13,0,1,28,28.0,19,9,9.0,28,0,0.0%,0,0.0%,0
John Kasay,CAR,36,K,16,0,1,36,36.0,0,16,16.0,36,1,100.0%,0,0.0%,0
Olindo Mare,MIA,32,K,16,0,1,8,8.0,0,8,8.0,8,0,0.0%,0,0.0%,0
Mike Nugent,NYJ,23,K,16,0,1,18,18.0,0,18,18.0,18,0,0.0%,1,100.0%,0
Jeff Wilkins,STL,33,K,16,0,1,35,35.0,0,15,15.0,35,1,100.0%,0,0.0%,0
