Player,Age,Team,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,Sfty,Awards
Rob Bironas,27,TEN,K,16,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,
David Bowens,28,MIA,DE,16,0,0,0,0,0,4,1,0,0,0,0,6.0,24,21,3,6,0,
Josh Brown,26,SEA,K,16,0,0,0,0,0,0,0,0,0,0,0,0.0,3,2,1,0,0,
Kris Brown,29,HOU,K,16,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,
Ralph Brown,27,MIN,DB,16,0,0,0,0,0,5,0,0,0,0,0,0.0,37,34,3,1,0,
Joe Burns,26,BUF,RB,16,0,0,0,0,0,0,0,0,0,0,0,0.0,8,6,2,0,0,
Chris Carr,22,OAK,DB,16,0,0,0,0,0,2,0,5,3,-1,0,0.0,11,8,3,0,0,
Tyrone Carter,29,PIT,DB,16,0,1,3,0,3,3,2,0,2,0,0,1.0,32,25,7,1,0,
Rock Cartwright,26,WAS,FB,16,0,0,0,0,0,0,0,1,0,0,0,0.0,12,11,1,0,0,
Dustin Colquitt,23,KAN,P,16,0,0,0,0,0,0,0,0,0,0,0,0.0,2,2,0,0,0,
Jameel Cook,26,TAM,FB,16,0,0,0,0,0,0,0,0,0,0,0,0.0,13,9,4,0,0,
Terrance Copper,23,DAL,WR,16,0,0,0,0,0,1,0,0,0,0,0,0.0,11,8,3,0,0,
Jean-Phillipe Darche,30,SEA,LS,16,0,0,0,0,0,0,0,0,1,0,0,0.0,2,2,0,0,0,
Don Davis,33,NWE,LB,16,0,0,0,0,0,0,0,0,0,0,0,0.0,21,12,9,0,0,
Rob Davis,37,GNB,LS,16,0,0,0,0,0,0,0,0,0,0,0,0.0,3,2,1,0,0,
Phil Dawson,30,CLE,K,16,0,0,0,0,0,0,0,0,0,0,0,0.0,3,1,2,0,0,
James Dearth,29,NYJ,LS,16,0,0,0,0,0,0,0,0,0,0,0,0.0,2,2,0,0,0,
John Denney,27,MIA,LS,16,0,0,0,0,0,0,0,1,0,-12,0,0.0,4,2,2,0,0,
Ryan Denney,28,BUF,DE,16,0,0,0,0,0,3,0,0,1,0,0,4.0,45,28,17,7,0,
Koy Detmer,32,PHI,QB,16,0,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,0,0,
Jared DeVries,29,DET,DE,16,0,0,0,0,0,1,0,0,2,0,0,3.0,33,24,9,4,0,
Nick Eason,25,CLE,DT,16,0,0,0,0,0,0,0,0,0,0,0,2.0,19,11,8,2,0,
Omar Easy,28,OAK,FB,16,0,0,0,0,0,0,0,0,0,0,0,0.0,14,13,1,0,0,
Paul Edinger,27,MIN,K,16,0,0,0,0,0,0,0,0,0,0,0,0.0,2,2,0,0,0,
Troy Evans,28,HOU,LB,16,0,1,3,0,3,3,0,0,1,0,0,0.0,27,22,5,0,0,
Jeff Feagles,39,NYG,P,16,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,
Jay Feely,29,NYG,K,16,0,0,0,0,0,0,0,0,0,0,0,0.0,4,4,0,0,0,
Simon Fraser,22,CLE,DT,16,0,0,0,0,0,0,0,0,0,0,0,0.0,2,2,0,0,0,
Chris Gardocki,35,PIT,P,16,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,
Tony Gilbert,26,JAX,LB,16,0,0,0,0,0,0,0,0,1,0,0,0.0,12,10,2,0,0,
John Gilmore,26,CHI,TE,16,0,0,0,0,0,0,0,0,0,0,0,0.0,2,1,1,0,0,
Jason Glenn,26,MIA,LB,16,0,0,0,0,0,0,0,0,0,0,0,0.0,13,12,1,0,0,
Ben Graham,32,NYJ,P,16,0,0,0,0,0,0,0,1,0,-9,0,0.0,,,,,0,
Earnest Graham,25,TAM,RB,16,0,0,0,0,0,0,0,1,0,0,0,0.0,8,8,0,0,0,
Shayne Graham,28,CIN,K,16,0,0,0,0,0,0,0,0,0,0,0,0.0,11,7,4,0,0,"PB,AP-2"
Roderick Green,23,BAL,LB,16,0,0,0,0,0,0,0,0,1,0,0,2.0,11,7,4,2,0,
Boomer Grigsby,24,KAN,LB,16,0,0,0,0,0,0,0,0,0,0,0,0.0,16,12,4,0,0,
Brock Gutierrez,32,DET,C,16,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,
Mario Haggan,25,BUF,LB,16,0,0,0,0,0,0,0,0,0,0,0,0.0,22,13,9,0,0,
Karl Hankton,35,CAR,WR,16,0,0,0,0,0,0,0,0,1,11,0,0.0,15,12,3,0,0,
Arlen Harris,25,STL,RB,16,0,0,0,0,0,0,0,0,1,0,0,0.0,8,7,1,0,0,
Nick Harris,27,DET,P,16,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,
Kelvin Hayden,22,IND,DB,16,0,0,0,0,0,1,0,0,0,0,0,0.0,26,18,8,0,0,
Craig Hentrich,34,TEN,P,16,0,0,0,0,0,0,0,1,0,-3,0,0.0,,,,,0,
Nathan Hodel,28,ARI,TE,16,0,0,0,0,0,0,0,0,0,0,0,0.0,4,3,1,0,0,
Kevin Houser,28,NOR,LS,16,0,0,0,0,0,0,0,0,0,0,0,0.0,3,1,2,0,0,
Chidi Iwuoma,27,PIT,DB,16,0,0,0,0,0,0,1,0,0,0,0,0.0,15,12,3,0,0,
Larry Izzo,31,NWE,LB,16,0,0,0,0,0,1,0,0,0,0,0,0.0,23,19,4,0,0,
Terry Jackson,29,SFO,FB,16,0,0,0,0,0,0,0,0,0,0,0,0.0,19,16,3,0,0,
Brandon Jacobs,23,NYG,RB,16,0,0,0,0,0,0,0,1,0,0,0,0.0,7,5,2,0,0,
Brian Jennings,29,SFO,LS,16,0,0,0,0,0,0,0,0,1,0,0,0.0,5,4,1,0,0,
Ade Jimoh,25,WAS,DB,16,0,0,0,0,0,2,0,0,0,0,0,0.0,18,16,2,1,0,
Tim Johnson,27,OAK,LB,16,0,0,0,0,0,1,0,0,0,0,0,0.0,20,15,5,2,0,
Donnie Jones,25,MIA,P,16,0,0,0,0,0,0,0,0,0,0,0,0.0,3,3,0,0,0,
Mark Jones,25,TAM,WR,16,0,0,0,0,0,0,0,1,1,0,0,0.0,0,0,0,0,0,
Nate Jones,23,DAL,DB,16,0,0,0,0,0,0,0,0,0,0,0,0.0,14,8,6,0,0,
Sean Jones,23,CLE,DB,16,0,0,0,0,0,0,0,0,1,11,0,0.0,23,16,7,0,0,
Isaiah Kacyvenski,28,SEA,LB,16,0,0,0,0,0,1,1,0,0,0,0,0.0,28,24,4,0,0,
Nate Kaeding,23,SDG,K,16,0,0,0,0,0,0,0,0,0,0,0,0.0,3,3,0,0,0,
Matt Katula,23,BAL,LS,16,0,0,0,0,0,0,0,1,0,-10,0,0.0,8,7,1,0,0,
Brett Keisel,27,PIT,DE,16,0,0,0,0,0,2,1,0,1,0,0,3.0,33,23,10,2,0,
Travis Kirschke,31,PIT,DE,16,0,0,0,0,0,0,0,0,1,0,0,1.0,20,11,9,1,0,
Michael Koenen,23,ATL,P,16,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,
Brian Kozlowski,35,WAS,TE,16,0,0,0,0,0,0,0,0,0,0,0,0.0,2,2,0,0,0,
Ryan Kuehl,33,NYG,DT,16,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,
Jason Kyle,33,CAR,LB,16,0,0,0,0,0,0,0,0,0,0,0,0.0,5,4,1,0,0,
Kyle Larson,25,CIN,P,16,0,0,0,0,0,0,0,0,0,0,0,0.0,2,2,0,0,0,
Mike Leach,29,DEN,LS,16,0,0,0,0,0,0,0,0,0,0,0,0.0,5,5,0,0,0,
Andy Lee,23,SFO,P,16,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,
Rian Lindell,28,BUF,K,16,0,0,0,0,0,0,0,0,0,0,0,0.0,4,2,2,0,0,
Cullen Loeffler,24,MIN,LS,16,0,0,0,0,0,0,0,0,0,0,0,0.0,2,0,2,0,0,
Ryan Longwell,31,GNB,K,16,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,
Patrick Mannelly,30,CHI,T,16,0,0,0,0,0,0,0,0,0,0,0,0.0,4,3,1,0,0,
Olindo Mare,32,MIA,K,16,0,0,0,0,0,0,0,0,1,0,0,0.0,2,2,0,0,0,
Chris Massey,26,STL,RB,16,0,0,0,0,0,0,0,0,0,0,0,0.0,6,6,0,0,0,
Brad Maynard,31,CHI,P,16,0,0,0,0,0,0,0,1,1,0,0,0.0,1,0,1,0,0,
Fred McAfee,37,NOR,RB,16,0,0,0,0,0,0,0,2,0,0,0,0.0,24,17,7,0,0,
Kevin McCadam,26,ATL,DB,16,0,0,0,0,0,0,0,0,0,0,0,0.0,12,9,3,0,0,
Billy McMullen,25,PHI,WR,16,0,0,0,0,0,0,0,1,0,0,0,0.0,4,3,1,0,0,
Ray Mickens,32,CLE,DB,16,0,0,0,0,0,6,0,0,1,13,0,0.0,33,26,7,1,0,
Quintin Mikell,25,PHI,DB,16,0,0,0,0,0,3,0,0,0,0,0,0.0,24,21,3,1,0,
Hanik Milligan,26,SDG,DB,16,0,0,0,0,0,0,0,0,0,0,0,0.0,21,14,7,0,0,PB
Travis Minor,26,MIA,RB,16,0,0,0,0,0,0,0,0,0,0,0,0.0,7,6,1,0,0,
Anthony Mitchell,31,CIN,DB,16,0,0,0,0,0,0,0,0,0,0,0,1.0,30,22,8,2,0,
Quincy Morgan,28,PIT,WR,16,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,
Chad Morton,28,NYG,RB,16,0,0,0,0,0,0,0,1,1,0,0,0.0,1,1,0,0,0,
Donnie Nickey,25,TEN,DB,16,0,0,0,0,0,0,0,0,1,0,0,0.0,18,13,5,3,0,
Mike Nugent,23,NYJ,K,16,0,0,0,0,0,0,0,0,0,0,0,0.0,3,3,0,0,0,
Chukky Okobi,27,PIT,C,16,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0,0,
Lonie Paxton,27,NWE,LS,16,0,0,0,0,0,0,0,0,0,0,0,0.0,3,2,1,0,0,
Alvin Pearman,23,JAX,RB,16,0,0,0,0,0,0,0,4,1,0,0,0.0,1,1,0,0,0,
Tab Perry,23,CIN,WR,16,0,0,0,0,0,0,0,1,2,0,0,0.0,12,10,2,0,0,
Adrian Peterson,26,CHI,RB,16,0,0,0,0,0,0,0,1,1,0,0,0.0,10,8,2,0,0,
Kenny Peterson,27,GNB,DT,16,0,0,0,0,0,3,2,0,2,18,0,3.0,24,19,5,3,0,
Bryan Pittman,28,HOU,LS,16,0,0,0,0,0,0,0,0,0,0,0,0.0,6,3,3,0,0,
Scott Player,36,ARI,P,16,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,
Jeff Reed,26,PIT,K,16,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,
Ike Reese,32,ATL,LB,16,0,0,0,0,0,2,0,0,0,0,0,0.0,40,33,7,1,0,
Jacques Reeves,23,DAL,DB,16,0,0,0,0,0,4,0,0,1,0,0,0.0,20,16,4,0,0,
Dexter Reid,24,IND,DB,16,0,0,0,0,0,0,1,0,1,0,0,0.0,10,8,2,0,0,
Kyle Richardson,32,CLE,P,16,0,0,0,0,0,0,0,0,0,0,0,0.0,2,2,0,0,0,
Matt Roth,23,MIA,DE,16,0,0,0,0,0,0,0,0,1,0,0,1.0,20,15,5,2,0,
Orlando Ruff,29,CLE,LB,16,0,0,0,0,0,0,0,0,1,6,0,0.0,31,17,14,1,0,
Barrett Ruud,22,TAM,LB,16,0,0,0,0,0,0,0,0,1,0,0,0.0,17,15,2,0,0,
Cecil Sapp,27,DEN,RB,16,0,0,0,0,0,0,0,0,2,0,0,0.0,7,6,1,0,0,
Rich Scanlon,25,KAN,LB,16,0,0,0,0,0,0,0,0,0,0,0,0.0,26,22,4,1,0,
Mike Schneck,28,BUF,LS,16,0,0,0,0,0,0,0,0,0,0,0,0.0,2,2,0,0,0,PB
Mike Scifres,25,SDG,P,16,0,0,0,0,0,0,0,1,1,0,0,0.0,2,2,0,0,0,
Josh Scobee,23,JAX,K,16,0,0,0,0,0,0,0,0,0,0,0,0.0,3,3,0,0,0,
Josh Scobey,26,SEA,RB,16,0,0,0,0,0,0,0,2,1,0,0,0.0,24,18,6,0,0,
DeQuincy Scott,27,SDG,DT,16,0,0,0,0,0,2,0,0,0,0,0,4.5,13,11,2,5,0,
Edell Shepherd,25,TAM,WR,16,0,0,0,0,0,0,0,1,0,0,0,0.0,2,2,0,0,0,
Mark Simoneau,28,PHI,LB,16,0,0,0,0,0,3,1,0,0,0,0,0.0,38,29,9,1,0,
Hunter Smith,28,IND,P,16,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,
Justin Snow,29,IND,LS,16,0,0,0,0,0,0,0,0,0,0,0,0.0,7,7,0,0,0,
Cody Spencer,24,TEN,LB,16,0,0,0,0,0,0,0,0,0,0,0,0.0,17,15,2,0,0,
Brad St. Louis,29,CIN,LS,16,0,0,0,0,0,0,0,0,0,0,0,0.0,2,2,0,0,0,
Josh Stamer,28,BUF,LB,16,0,0,0,0,0,0,0,0,0,0,0,0.0,16,12,4,0,0,
Chad Stanley,29,HOU,P,16,0,0,0,0,0,0,0,1,0,-9,0,0.0,1,1,0,0,0,
Scott Starks,22,JAX,DB,16,0,0,0,0,0,2,0,0,0,0,0,0.0,13,11,2,0,0,
Gary Stills,31,KAN,DE,16,0,0,0,0,0,1,0,0,1,0,0,0.0,19,14,5,0,0,
Matt Stover,37,BAL,K,16,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,
Craig Terrill,25,SEA,DT,16,0,0,0,0,0,2,0,0,1,18,0,2.0,20,14,6,4,0,
Michael Turner,23,SDG,RB,16,0,0,0,0,0,0,0,0,0,0,0,0.0,4,4,0,0,0,
Lawrence Tynes,27,KAN,K,16,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,
Mason Unck,25,CLE,LB,16,0,0,0,0,0,0,0,0,2,0,0,0.0,10,9,1,0,0,
Marviel Underwood,23,GNB,DB,16,0,0,0,0,0,0,1,0,0,0,0,0.0,36,28,8,0,0,
Ramon Walker,26,HOU,DB,16,0,0,0,0,0,0,0,0,1,0,0,0.0,16,13,3,0,0,
Matt Ware,23,PHI,DB,16,0,0,0,0,0,3,1,0,1,0,0,0.0,23,18,5,0,0,
Greg Warren,24,PIT,LS,16,0,0,0,0,0,0,0,1,0,0,0,0.0,4,3,1,0,0,
Rashad Washington,25,NYJ,DB,16,0,0,0,0,0,2,0,0,0,0,0,1.0,32,17,15,1,0,
Leonard Weaver,23,SEA,RB,16,0,0,0,0,0,0,0,0,0,0,0,0.0,3,1,2,0,0,
Dante Wesley,26,CAR,DB,16,0,0,0,0,0,1,1,0,1,0,0,0.0,18,17,1,0,0,
Matt Wilhelm,24,SDG,LB,16,0,1,10,0,10,1,1,0,0,0,0,1.0,31,25,6,1,0,
Jeff Wilkins,33,STL,K,16,0,0,0,0,0,0,0,0,0,0,0,0.0,2,1,1,0,0,
Shaud Williams,25,BUF,RB,16,0,0,0,0,0,1,0,0,1,0,0,0.0,3,3,0,0,0,
Dave Zastudil,27,BAL,P,16,0,0,0,0,0,0,0,1,1,-2,0,0.0,1,1,0,0,0,
Joe Zelenka,29,JAX,LS,16,0,0,0,0,0,0,0,0,0,0,0,0.0,2,1,1,0,0,
Mike Anderson,32,DEN,RB,15,15,0,0,0,0,0,0,2,0,0,0,0.0,1,0,1,0,0,
Keion Carpenter,28,ATL,SS,15,15,2,1,0,1,8,0,1,0,0,0,0.0,55,43,12,2,0,
Kerry Collins,33,OAK,QB,15,15,0,0,0,0,0,0,13,1,-16,0,0.0,0,0,0,0,0,
Karlos Dansby,24,ARI,LLB,15,15,3,31,2,18,5,2,0,2,0,0,4.0,89,70,19,13,0,
Chris Gamble,22,CAR,RCB,15,15,7,157,1,61,12,1,0,1,0,0,0.0,76,66,10,2,0,
DeJuan Groce,25,STL,LCB,15,15,2,0,0,0,11,1,0,0,0,0,0.0,49,45,4,3,0,
DeAngelo Hall,22,ATL,LCB,15,15,6,177,0,65,10,1,2,3,86,1,0.0,66,59,7,0,0,PB
Nick Harper,31,IND,LCB,15,15,3,41,0,21,15,0,0,1,7,0,0.0,66,60,6,2,0,
Reggie Hayward,26,JAX,LDE,15,15,0,0,0,0,6,1,0,1,0,0,8.5,33,27,6,10,0,
Brad Hoover,29,CAR,FB,15,15,0,0,0,0,0,0,0,1,0,0,0.0,1,1,0,0,0,
Brad Hopkins,35,TEN,LT,15,15,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,
Steven Jackson,22,STL,RB,15,15,0,0,0,0,0,0,3,1,-7,0,0.0,0,0,0,0,0,
Edgerrin James,27,IND,RB,15,15,0,0,0,0,0,0,2,1,0,0,0.0,0,0,0,0,0,PB
Levi Jones,26,CIN,LT,15,15,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,
Thomas Jones,27,CHI,RB,15,15,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,0,0,
Walter Jones,31,SEA,LT,15,15,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,"PB,AP-1"
Jevon Kearse,29,PHI,LDE,15,15,0,0,0,0,8,3,0,0,0,0,7.5,39,36,3,9,0,
Matt Lehr,26,ATL,LG,15,15,0,0,0,0,0,0,0,0,0,0,0.0,2,1,1,0,0,
Jamal Lewis,26,BAL,RB,15,15,0,0,0,0,0,0,5,0,0,0,0.0,0,0,0,0,0,
Ken Lucas,26,CAR,LCB,15,15,6,70,0,32,15,0,0,1,24,0,0.0,69,62,7,3,0,
Sam Madison,31,MIA,RCB,15,15,2,11,0,11,12,1,0,0,0,0,0.0,56,46,10,3,0,
Anthony McFarland,28,TAM,RDT,15,15,0,0,0,0,0,0,0,2,0,1,2.0,27,18,9,8,0,
Mike McKenzie,29,NOR,LCB,15,15,1,11,0,11,6,0,1,0,0,0,0.0,46,41,5,3,0,
Chris Naeole,31,JAX,RG,15,15,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,
Adewale Ogunleye,28,CHI,LDE,15,15,0,0,0,0,5,1,0,1,0,0,10.0,40,36,4,15,0,
Shane Olivea,24,SDG,RT,15,15,0,0,0,0,,0,0,2,0,0,0.0,,,,,0,
Kyle Orton,23,CHI,QB,15,15,0,0,0,0,0,0,12,3,-13,0,0.0,0,0,0,0,0,
Willie Parker,25,PIT,RB,15,15,0,0,0,0,0,0,4,2,0,0,0.0,0,0,0,0,0,
Simeon Rice,31,TAM,RDE,15,15,1,6,0,6,4,6,0,0,0,0,14.0,40,33,7,12,0,
Asante Samuel,24,NWE,LCB,15,15,3,15,0,15,16,0,0,0,0,0,0.0,54,44,10,1,0,
Dwight Smith,27,NOR,SS,15,15,2,53,0,28,7,2,1,0,0,0,1.0,73,63,10,8,0,
Shawn Springs,30,WAS,RCB,15,15,1,2,0,2,10,0,0,0,0,0,0.0,50,47,3,2,0,
Patrick Surtain,29,KAN,LCB,15,15,4,57,0,53,12,0,1,1,2,0,0.0,57,47,10,2,0,
Sean Taylor,22,WAS,FS,15,15,2,34,0,32,12,2,0,1,39,1,1.0,72,62,10,2,0,
Charles Tillman,24,CHI,LCB,15,15,5,172,1,95,16,4,0,1,0,0,1.0,96,85,11,0,0,
Jeremiah Trotter,28,PHI,MLB,15,15,1,2,0,2,10,2,0,0,0,0,1.0,121,102,19,11,0,PB
Marcus Trufant,25,SEA,RCB,15,15,1,7,0,7,14,1,0,0,0,0,1.0,64,55,9,3,0,
Michael Vick,25,ATL,QB,15,15,0,0,0,0,0,0,11,0,-6,0,0.0,0,0,0,0,0,PB
Hines Ward,29,PIT,WR,15,15,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,
Al Wilson,28,DEN,MLB,15,15,0,0,0,0,9,2,0,1,0,0,3.0,73,62,11,4,0,"PB,AP-1"
Will Witherspoon,25,CAR,RLB,15,15,2,35,1,35,14,0,0,0,0,0,2.5,81,66,15,5,0,
Chris Brown,24,TEN,RB,15,14,0,0,0,0,0,0,4,0,0,0,0.0,0,0,0,0,0,
Ronnie Brown,24,MIA,RB,15,14,0,0,0,0,0,0,4,2,0,0,0.0,0,0,0,0,0,
Dallas Clark,26,IND,TE,15,14,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,
Sam Cowart,30,MIN,MLB,15,14,0,0,0,0,2,0,0,0,0,0,2.0,84,71,13,7,0,
Mike Doss,24,IND,SS,15,14,2,8,0,8,5,0,0,0,0,0,0.0,77,57,20,1,0,
E.J. Henderson,25,MIN,RLB,15,14,0,0,0,0,1,2,0,1,0,0,1.0,76,54,22,2,0,
Reggie Kelly,28,CIN,TE,15,14,0,0,0,0,0,0,1,1,0,0,0.0,1,1,0,0,0,
Terrence McGee,25,BUF,LCB,15,14,4,97,1,46,15,1,1,2,0,0,0.0,73,60,13,1,0,AP-2
Deltha O'Neal,28,CIN,LCB,15,14,10,103,0,37,20,0,0,1,26,0,0.0,65,56,9,1,0,"PB,AP-2"
Julian Peterson,27,SFO,LOLB,15,14,0,0,0,0,6,1,0,1,0,0,3.0,83,59,24,7,0,
Mike Rucker,30,CAR,RDE,15,14,0,0,0,0,3,3,0,2,11,0,7.5,44,35,9,7,0,
Shawntae Spencer,23,SFO,RCB,15,14,4,85,1,61,19,0,0,0,0,0,0.0,83,74,9,2,0,
Paul Spicer,30,JAX,RDE,15,14,0,0,0,0,2,1,0,1,0,0,7.5,37,30,7,12,0,
Will Whitticker,23,GNB,RG,15,14,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,
Angelo Crowell,24,BUF,RLB,15,13,2,3,0,2,5,2,0,0,0,0,3.0,120,80,40,9,0,
Adam Jones,22,TEN,RCB,15,13,0,0,0,0,11,0,5,1,0,0,0.0,54,44,10,4,0,
Jason Webster,28,ATL,RCB,15,13,1,19,0,19,5,2,0,0,0,0,0.0,81,75,6,2,0,
Ifeanyi Ohalete,26,CIN,SS,15,12,1,15,0,15,2,0,0,0,0,0,0.0,55,40,15,0,0,
Mark Brown,25,NYJ,RLB,15,11,2,51,1,33,2,0,0,1,0,0,1.5,77,38,39,3,0,
Marcus Coleman,31,HOU,FS,15,11,1,6,0,6,3,1,1,0,0,0,0.0,53,47,6,0,0,
Justin Gage,24,CHI,WR,15,11,0,0,0,0,0,0,0,1,0,0,0.0,1,1,0,0,0,
Marcel Shipp,27,ARI,RB,15,11,0,0,0,0,0,0,4,1,0,0,0.0,0,0,0,0,0,
Ben Troupe,23,TEN,TE,15,11,0,0,0,0,0,0,2,0,0,0,0.0,1,0,1,0,0,
Reynaldo Hill,23,TEN,LCB,15,10,3,88,1,52,9,1,0,0,0,0,0.0,54,44,10,3,0,
Montrae Holland,25,NOR,RG,15,10,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,
Shawne Merriman,21,SDG,LOLB,15,10,0,0,0,0,5,2,0,0,0,0,10.0,57,43,14,10,0,"PB,AP DRoY-1"
LeRoy Hill,23,SEA,LLB,15,9,0,0,0,0,2,1,0,0,0,0,7.5,73,52,21,11,0,
Erasmus James,23,MIN,RDE,15,9,0,0,0,0,2,1,0,0,0,0,4.0,29,24,5,6,0,
Brad Johnson,37,MIN,QB,15,9,0,0,0,0,0,0,5,1,-1,0,0.0,0,0,0,0,0,
Jimmy Kennedy,26,STL,RDT,15,9,0,0,0,0,3,1,0,0,0,0,3.0,42,30,12,4,0,
Eric Parker,26,SDG,WR,15,9,0,0,0,0,0,0,2,1,0,0,0.0,0,0,0,0,0,
Ben Watson,25,NWE,TE,15,9,0,0,0,0,0,0,1,0,0,0,0.0,,,,,0,
Andre' Goodman,27,DET,LCB,15,8,3,17,0,21,11,0,0,1,15,0,0.0,47,42,5,0,0,
N.D. Kalu,30,PHI,RDE,15,8,0,0,0,0,2,1,0,0,0,0,2.0,30,26,4,3,0,
Scott Shanle,26,DAL,RILB,15,8,0,0,0,0,2,0,0,0,0,0,1.5,45,34,11,1,0,
Billy Bajema,23,SFO,TE,15,7,0,0,0,0,0,0,0,1,0,0,0.0,4,3,1,0,0,
Trent Cole,23,PHI,RDE,15,7,0,0,0,0,2,1,0,0,0,0,5.0,46,38,8,8,0,
Reggie Howard,28,MIA,CB,15,7,1,5,0,5,5,3,0,1,0,0,2.0,49,39,10,3,1,
Travis LaBoy,24,TEN,RDE,15,7,0,0,0,0,1,0,0,1,0,0,6.5,42,28,14,6,0,
Monty Beisel,27,NWE,LILB,15,6,0,0,0,0,1,1,0,0,0,0,1.0,48,31,17,2,0,
Pierson Prioleau,28,WAS,SS,15,6,0,0,0,0,4,2,0,2,4,0,3.0,43,39,4,2,0,
Mike Sellers,30,WAS,TE,15,6,0,0,0,0,0,0,0,1,0,0,0.0,12,12,0,0,0,
Jonathan Wells,26,HOU,RB,15,6,0,0,0,0,0,0,1,0,0,0,0.0,6,6,0,0,0,
J.J. Arrington,22,ARI,RB,15,5,0,0,0,0,0,0,1,1,0,0,0.0,0,0,0,0,0,
Chad Brown,35,NWE,RILB,15,5,0,0,0,0,0,0,0,0,0,0,0.0,39,31,8,1,0,
DeShaun Foster,25,CAR,RB,15,5,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,0,0,
Jarvis Green,26,NWE,RDE,15,5,0,0,0,0,0,1,0,0,0,0,2.5,35,24,11,2,0,
Donald Lee,25,GNB,TE,15,5,0,0,0,0,0,0,0,0,0,0,0.0,3,3,0,0,0,
Aaron Stecker,30,NOR,RB,15,4,0,0,0,0,0,0,3,0,0,0,0.0,1,1,0,0,0,
Larry Tripplett,26,IND,DT,15,4,0,0,0,0,2,1,0,2,60,1,4.0,36,29,7,6,0,
Kevin Bentley,26,SEA,LB,15,3,0,0,0,0,1,0,0,0,0,0,0.0,33,28,5,2,0,
Napoleon Harris,26,MIN,LB,15,3,0,0,0,0,3,0,0,0,0,0,1.0,25,18,7,2,0,
Travis Johnson,23,HOU,DT,15,3,0,0,0,0,0,0,0,0,0,0,1.0,26,23,3,6,0,
Shaun Phillips,24,SDG,LB,15,3,0,0,0,0,2,3,0,1,0,0,7.0,35,33,2,7,0,
Tony Beckham,27,TEN,DB,15,2,0,0,0,0,3,0,0,0,0,0,0.0,19,16,3,0,0,
Chase Blackburn,22,NYG,LB,15,2,1,31,1,31,1,0,0,1,0,0,0.0,31,21,10,0,0,
Rocky Boiman,25,TEN,LB,15,2,0,0,0,0,0,0,0,0,0,0,0.0,35,23,12,0,0,
Steve Bush,31,SFO,TE,15,2,0,0,0,0,0,0,0,0,0,0,0.0,4,3,1,0,0,
Dale Carter,36,BAL,DB,15,2,0,0,0,0,1,1,0,0,0,0,0.0,26,23,3,0,0,
Roy Manning,24,GNB,LB,15,2,0,0,0,0,1,0,0,0,0,0,0.0,25,13,12,2,0,
Terrence Melton,28,NOR,LB,15,2,0,0,0,0,1,0,0,0,0,0,0.0,28,20,8,1,0,
Stanford Routt,22,OAK,DB,15,2,0,0,0,0,2,0,0,0,0,0,1.0,29,27,2,1,0,
Keith Smith,25,DET,DB,15,2,0,0,0,0,1,0,0,0,0,0,1.0,32,25,7,2,0,
Corey Webster,23,NYG,DB,15,2,0,0,0,0,5,2,0,0,0,0,0.0,39,38,1,0,0,
Jerry Azumah,28,CHI,DB,15,1,0,0,0,0,4,0,0,0,0,0,1.0,37,33,4,0,0,
Tatum Bell,24,DEN,RB,15,1,0,0,0,0,0,0,3,1,0,0,0.0,,,,,0,
Keith Burns,33,DEN,LB,15,1,0,0,0,0,0,0,0,1,0,0,0.0,19,16,3,0,0,
